Pâtisserie Ladurée,Patisserie,P84V+MM Morangis,https://maps.app.goo.gl/zky4JviAWVYbSuao7
Ladurée Beaugrenelle,Pastry shop,R7XM+H2 Paris,https://maps.app.goo.gl/SV7nYHuiLsYEtmWY9
Ladurée Bretagne,Pastry shop,V977+45 Paris,https://maps.app.goo.gl/BiBcdi73A2Kw3T3v9
Ladurée Gare de Lyon,Pastry shop,R9VG+R2 Paris,https://maps.app.goo.gl/XRHroyCCArau1En36
Ladurée,Pastry shop,R8XR+35 Paris,https://maps.app.goo.gl/1xtWxUQYQKuy6vJS9
Ladurée Montparnasse,Pastry shop,R8RC+F6 Paris,https://maps.app.goo.gl/8DqsSBQTrKmXbJSM9
Ladurée,Pastry shop,V89F+9F Paris,https://maps.app.goo.gl/k5KV6QVeEo11NMb9A
Ladurée Bonaparte,Pastry shop,V84M+6J Paris,https://maps.app.goo.gl/BQxkPV8sd5wRUndL8
Ladurée,Pastry shop,P9G5+XV Orly,https://maps.app.goo.gl/NMyqZKQapzwxFJSW9
Ladurée Carrousel du Louvre,Pastry shop,V86M+PP Paris,https://maps.app.goo.gl/8hDjUZ456KMUue7w9
Ladurée,Pastry shop,V8C3+87 Paris,https://maps.app.goo.gl/78c8VknEUStMwS686
LADURÉE Pavillon Gravelle,French restaurant,RCCV+2P Paris,https://maps.app.goo.gl/wRNQNvf1UoodBqrw8
Ladurée,Cake shop,RCCV+2P Paris,https://maps.app.goo.gl/SJmgoABzMfnx24Zm7

One more time
Ladurée Saint Lazare,Pastry shop,V8GG+G4 Paris,https://maps.app.goo.gl/8DoknmosyFhWZpfa6
LADURÉE,Pastry shop,VQ3M+PH Serris,https://maps.app.goo.gl/eJejYnm5uhyxRpnE7
LADURÉE Château de Versailles,Cake shop,R43C+R8 Versailles,https://maps.app.goo.gl/7kwnJ24XtMaLEn5N7
Ladurée,Pastry shop,P9H5+MG Orly,https://maps.app.goo.gl/S61qshrh6BBVyGyu8
Ladurée Galeries Lafayette Gourmet,Cake shop,V8FJ+73 Paris,https://maps.app.goo.gl/yYsCx3U21bao5xVo8
Ladurée Victor Hugo,Cake shop,V7CP+25 Paris,https://maps.app.goo.gl/d3gKnfKE52fVkmUq6
LADURÉE Paris Publicisdrugstore,Pastry shop,V7FW+2R Paris,https://maps.app.goo.gl/aR2inwe578iAXQ5F8
LADURÉE Paris Galeries Lafayette Haussmann,Tea house,V8FJ+FR Paris,https://maps.app.goo.gl/vfrL9zdNrbJEV7FG8
Ladurée,Pastry shop,P9G7+P5 Orly,https://maps.app.goo.gl/J7ieqhfX4EjsSxEG9
LADUREE Orly 4,Pastry shop,P9H9+7J Paray-Vieille-Poste,https://maps.app.goo.gl/wm54Gk4n2kWDPTNx5
Ladurée,Pastry shop,V88H+44 Paris,https://maps.app.goo.gl/zneFcJiYcTX6tEfR9
Ladurée Café Victor Hugo,Cake shop,V79J+9R Paris,https://maps.app.goo.gl/jQYU8c8SBFPm3BzM7
laduree,Pastry shop,P9J6+3R Orly,https://maps.app.goo.gl/7ps758rh3xRqPd5w6
Ladurée Marais,Cake shop,V955+55 Paris,https://maps.app.goo.gl/8MDL1DVvLGNkGkv16
Pâtisserie Ladurée,Patisserie,P84V+MM Morangis,https://maps.app.goo.gl/zky4JviAWVYbSuao7
Ladurée Beaugrenelle,Pastry shop,R7XM+H2 Paris,https://maps.app.goo.gl/SV7nYHuiLsYEtmWY9
Ladurée Bretagne,Pastry shop,V977+45 Paris,https://maps.app.goo.gl/BiBcdi73A2Kw3T3v9
Ladurée Gare de Lyon,Pastry shop,R9VG+R2 Paris,https://maps.app.goo.gl/XRHroyCCArau1En36
Ladurée,Pastry shop,R8XR+35 Paris,https://maps.app.goo.gl/1xtWxUQYQKuy6vJS9
Ladurée Montparnasse,Pastry shop,R8RC+F6 Paris,https://maps.app.goo.gl/8DqsSBQTrKmXbJSM9
Ladurée,Pastry shop,V89F+9F Paris,https://maps.app.goo.gl/k5KV6QVeEo11NMb9A
Ladurée Bonaparte,Pastry shop,V84M+6J Paris,https://maps.app.goo.gl/BQxkPV8sd5wRUndL8
Ladurée,Pastry shop,P9G5+XV Orly,https://maps.app.goo.gl/NMyqZKQapzwxFJSW9
Ladurée Carrousel du Louvre,Pastry shop,V86M+PP Paris,https://maps.app.goo.gl/8hDjUZ456KMUue7w9
Ladurée,Pastry shop,V8C3+87 Paris,https://maps.app.goo.gl/78c8VknEUStMwS686
LADURÉE Pavillon Gravelle,French restaurant,RCCV+2P Paris,https://maps.app.goo.gl/wRNQNvf1UoodBqrw8
Ladurée,Cake shop,RCCV+2P Paris,https://maps.app.goo.gl/SJmgoABzMfnx24Zm7
